tavg,tmin,tmax,prcp,pres,city,year,month,tavg_norm,tmin_norm,tmax_norm,prcp_norm,pres_norm,fuzzy_prcp_label
27.1,23.2,32.8,158.0,1009.9,0,2009,1,0.5526315789473687,0.31428571428571367,0.7258064516129027,0.1077276644642344,0.5094339622641424,Low
27.3,23.5,33.1,231.0,1009.5,0,2009,1,0.605263157894737,0.3999999999999996,0.774193548387097,0.16015512783682848,0.4339622641509385,Low
27.6,23.7,33.0,131.0,1009.6,0,2009,1,0.6842105263157897,0.4571428571428565,0.7580645161290323,0.08833668486067221,0.4528301886792449,Low
26.5,23.4,32.4,623.0,1010.6,0,2009,1,0.3947368421052631,0.3714285714285706,0.6612903225806449,0.44168342430336105,0.6415094339622653,Medium
26.1,23.5,31.2,281.0,1009.1,0,2009,1,0.28947368421052666,0.3999999999999996,0.4677419354838708,0.19606434932490663,0.35849056603773466,Medium
26.1,23.5,30.8,468.0,1010.7,0,2009,1,0.28947368421052666,0.3999999999999996,0.40322580645161293,0.3303648376903189,0.6603773584905717,High
26.0,23.3,30.2,907.0,1011.5,0,2010,1,0.26315789473684204,0.34285714285714264,0.3064516129032256,0.6456478023556449,0.8113207547169795,High
26.5,24.0,30.5,442.0,1011.2,0,2010,1,0.3947368421052631,0.5428571428571425,0.35483870967741926,0.3116920425165182,0.754716981132082,High
26.5,23.7,31.2,306.0,1011.0,0,2010,1,0.3947368421052631,0.4571428571428565,0.4677419354838708,0.2140189600689457,0.7169811320754693,Medium
27.1,24.0,32.5,264.0,1010.4,0,2010,1,0.5526315789473687,0.5428571428571425,0.6774193548387096,0.18385521401896004,0.6037735849056527,Low
27.5,24.4,32.7,409.0,1008.5,0,2010,1,0.6578947368421051,0.6571428571428564,0.7096774193548392,0.2879919563343867,0.24528301886791806,Low
27.2,24.0,32.4,186.0,1010.0,0,2010,1,0.5789473684210523,0.5428571428571425,0.6612903225806449,0.12783682849755817,0.5283018867924488,Low
26.3,23.5,31.6,389.0,1009.9,0,2010,1,0.34210526315789486,0.3999999999999996,0.5322580645161292,0.2736282677391554,0.5094339622641424,High
26.5,23.3,31.9,431.0,1009.9,0,2010,1,0.3947368421052631,0.34285714285714264,0.5806451612903223,0.30379201378914106,0.5094339622641424,High
26.4,23.3,31.5,337.0,1009.8,0,2010,1,0.3684210526315785,0.34285714285714264,0.5161290322580645,0.23628267739155415,0.4905660377358361,Medium
26.6,23.3,32.2,368.0,1009.0,0,2010,1,0.4210526315789477,0.34285714285714264,0.6290322580645166,0.2585463947141626,0.3396226415094283,Medium
26.2,23.3,31.9,198.0,1009.0,0,2010,1,0.3157894736842103,0.34285714285714264,0.5806451612903223,0.1364550416546969,0.3396226415094283,Low
25.7,23.0,31.1,367.0,1007.7,0,2010,1,0.18421052631578924,0.25714285714285673,0.4516129032258066,0.257828210284401,0.09433962264151025,Medium
25.5,22.9,29.7,841.0,1008.9,0,2011,1,0.13157894736842102,0.22857142857142776,0.22580645161290303,0.5982476299913817,0.32075471698112196,High
25.9,23.1,30.1,669.0,1009.4,0,2011,1,0.23684210526315747,0.2857142857142857,0.2903225806451614,0.47471990807239295,0.4150943396226322,High
26.3,23.3,31.6,190.0,1009.2,0,2011,1,0.34210526315789486,0.34285714285714264,0.5322580645161292,0.13070956621660443,0.377358490566041,Low
26.5,23.6,31.7,222.0,1009.6,0,2011,1,0.3947368421052631,0.42857142857142855,0.5483870967741934,0.15369146796897443,0.4528301886792449,Low
26.9,23.5,32.9,149.0,1009.5,0,2011,1,0.49999999999999956,0.3999999999999996,0.7419354838709675,0.10126400459638034,0.4339622641509385,Low
26.7,23.4,32.2,248.0,1009.2,0,2011,1,0.4473684210526313,0.3714285714285706,0.6290322580645166,0.17236426314277506,0.377358490566041,Low
26.9,23.3,32.6,214.0,1009.1,0,2011,1,0.49999999999999956,0.34285714285714264,0.6935483870967744,0.14794599253088192,0.35849056603773466,Low
27.0,23.6,32.7,199.0,1009.1,0,2011,1,0.5263157894736841,0.42857142857142855,0.7096774193548392,0.13717322608445848,0.35849056603773466,Low
26.7,23.4,32.6,182.0,1009.7,0,2011,1,0.4473684210526313,0.3714285714285706,0.6935483870967744,0.12496409077851191,0.47169811320755123,Low
26.1,23.2,31.1,292.0,1009.1,0,2011,1,0.28947368421052666,0.31428571428571367,0.4516129032258066,0.20396437805228382,0.35849056603773466,Medium
26.4,23.3,32.5,482.0,1008.5,0,2011,1,0.3684210526315785,0.34285714285714264,0.6774193548387096,0.34041941970698075,0.24528301886791806,High
26.1,23.5,31.3,937.0,1008.8,0,2011,1,0.28947368421052666,0.3999999999999996,0.48387096774193555,0.6671933352484918,0.30188679245281563,High
26.0,23.2,30.9,822.0,1009.1,0,2012,1,0.26315789473684204,0.31428571428571367,0.4193548387096771,0.5846021258259121,0.35849056603773466,High
25.8,23.0,30.9,299.0,1009.1,0,2012,1,0.21052631578947384,0.25714285714285673,0.4193548387096771,0.20899166906061475,0.35849056603773466,Medium
26.3,23.4,31.8,409.0,1009.4,0,2012,1,0.34210526315789486,0.3714285714285706,0.5645161290322581,0.2879919563343867,0.4150943396226322,High
26.9,23.6,33.0,244.0,1009.8,0,2012,1,0.49999999999999956,0.42857142857142855,0.7580645161290323,0.1694915254237288,0.4905660377358361,Low
27.6,24.0,33.8,237.0,1008.7,0,2012,1,0.6842105263157897,0.5428571428571425,0.8870967741935479,0.16446423441539787,0.28301886792453074,Low
27.6,23.6,33.6,100.0,1009.1,0,2012,1,0.6842105263157897,0.42857142857142855,0.8548387096774196,0.06607296753806377,0.35849056603773466,Low
26.8,23.6,32.5,220.0,1009.1,0,2012,1,0.4736842105263159,0.42857142857142855,0.6774193548387096,0.1522550991094513,0.35849056603773466,Low
27.0,23.7,32.3,318.0,1009.9,0,2012,1,0.5263157894736841,0.4571428571428565,0.6451612903225802,0.22263717322608445,0.5094339622641424,Medium
27.4,23.6,33.4,193.0,1009.9,0,2012,1,0.6315789473684206,0.42857142857142855,0.82258064516129,0.1328641195058891,0.5094339622641424,Low
26.5,23.4,32.2,374.0,1009.8,0,2012,1,0.3947368421052631,0.3714285714285706,0.6290322580645166,0.26285550129273194,0.4905660377358361,Medium
26.4,23.6,32.0,276.0,1009.5,0,2012,1,0.3684210526315785,0.42857142857142855,0.596774193548387,0.1924734271760988,0.4339622641509385,Medium
26.3,23.7,31.8,342.0,1008.9,0,2012,1,0.34210526315789486,0.4571428571428565,0.5645161290322581,0.23987359954036194,0.32075471698112196,Medium
26.7,24.0,30.9,298.0,1010.4,0,2013,1,0.4473684210526313,0.5428571428571425,0.4193548387096771,0.20827348463085318,0.6037735849056527,Low
26.5,23.7,31.0,402.0,1009.1,0,2013,1,0.3947368421052631,0.4571428571428565,0.4354838709677419,0.2829646653260557,0.35849056603773466,Medium
27.5,24.2,32.3,404.0,1010.3,0,2013,1,0.6578947368421051,0.5999999999999994,0.6451612903225802,0.2844010341855788,0.5849056603773464,Low
27.1,24.0,32.9,353.0,1009.1,0,2013,1,0.5526315789473687,0.5428571428571425,0.7419354838709675,0.24777362826773913,0.35849056603773466,Low
26.3,24.0,32.7,268.0,1009.4,0,2013,1,0.34210526315789486,0.5428571428571425,0.7096774193548392,0.1867279517380063,0.4150943396226322,Medium
27.7,23.9,33.7,205.0,1008.3,0,2013,1,0.7105263157894733,0.5142857142857135,0.8709677419354843,0.14148233266302784,0.2075471698113054,Low
26.9,23.3,32.8,179.0,1009.3,0,2013,1,0.49999999999999956,0.34285714285714264,0.7258064516129027,0.12280953748922722,0.3962264150943259,Low
27.1,23.3,33.0,334.0,1009.8,0,2013,1,0.5526315789473687,0.34285714285714264,0.7580645161290323,0.23412812410226944,0.4905660377358361,Medium
26.6,23.5,32.5,218.0,1009.9,0,2013,1,0.4210526315789477,0.3999999999999996,0.6774193548387096,0.15081873024992817,0.5094339622641424,Low
26.5,23.3,32.6,445.0,1010.6,0,2013,1,0.3947368421052631,0.34285714285714264,0.6935483870967744,0.31384659580580293,0.6415094339622653,Medium
26.1,23.2,31.8,293.0,1008.9,0,2013,1,0.28947368421052666,0.31428571428571367,0.5645161290322581,0.2046825624820454,0.32075471698112196,Medium
26.0,23.8,30.4,728.0,1009.0,0,2013,1,0.26315789473684204,0.4857142857142855,0.33870967741935454,0.5170927894283252,0.3396226415094283,Medium
25.3,22.7,29.2,409.0,1011.5,0,2014,1,0.07894736842105281,0.17142857142857082,0.14516129032258043,0.2879919563343867,0.8113207547169795,High
26.5,23.0,31.0,205.0,1010.3,0,2014,1,0.3947368421052631,0.25714285714285673,0.4354838709677419,0.14148233266302784,0.5849056603773464,Low
26.7,23.7,30.7,163.0,1010.8,0,2014,1,0.4473684210526313,0.4571428571428565,0.3870967741935482,0.11131858661304223,0.6792452830188566,Low
26.9,23.7,32.9,417.0,1010.1,0,2014,1,0.49999999999999956,0.4571428571428565,0.7419354838709675,0.29373743177247913,0.5471698113207552,Medium
27.5,24.4,32.6,222.0,1009.5,0,2014,1,0.6578947368421051,0.6571428571428564,0.6935483870967744,0.15369146796897443,0.4339622641509385,Low
28.1,24.4,33.7,233.0,1008.5,0,2014,1,0.8157894736842107,0.6571428571428564,0.8709677419354843,0.16159149669635162,0.24528301886791806,Low
28.4,24.2,34.5,168.0,1009.3,0,2014,1,0.8947368421052626,0.5999999999999994,1.0,0.11490950876185003,0.3962264150943259,Low
26.7,23.5,32.1,537.0,1010.4,0,2014,1,0.4473684210526313,0.3999999999999996,0.6129032258064518,0.3799195633438667,0.6037735849056527,Medium
27.2,23.6,33.0,276.0,1010.3,0,2014,1,0.5789473684210523,0.42857142857142855,0.7580645161290323,0.1924734271760988,0.5849056603773464,Low
26.8,23.6,32.5,249.0,1010.3,0,2014,1,0.4736842105263159,0.42857142857142855,0.6774193548387096,0.17308244757253663,0.5849056603773464,Low
26.5,23.7,32.2,298.0,1009.9,0,2014,1,0.3947368421052631,0.4571428571428565,0.6290322580645166,0.20827348463085318,0.5094339622641424,Medium
26.4,23.7,31.9,526.0,1010.4,0,2014,1,0.3684210526315785,0.4571428571428565,0.5806451612903223,0.3720195346164895,0.6037735849056527,High
